,pos,count,entity
520,A,55,New
521,N,1,Year's!
522,N,2,Fall
523,A,186,new
524,N,6,leaf
525,A,45,major
526,N,70,morning
527,N,26,workout
528,N,10,confidence
529,N,48,metformin
530,^,1,pioglitazone
531,N,3,glipizide
532,N,94,Health
533,A,5,FREE
534,N,124,year
535,N,14,trouble
536,N,18,solution
537,^,72,Diabetic
538,Z,1,Living’s
539,N,19,course
540,N,40,email
541,N,2,inbox
542,N,2,editors
543,N,3,magazines
544,N,35,focus
545,N,3,specifics
546,N,5,heart-healthy
547,N,5,budget
548,N,33,guide
549,A,18,expensive
550,N,1,breather
551,A,17,Top
552,N,3,Chef
553,N,1,finalist
554,^,1,Sam
555,^,1,Talbot
556,A,5,Sweet
557,N,59,Life
558,A,10,multiple
559,N,11,restaurants
560,N,44,nothing
561,A,5,unhappy
562,N,3,host
563,N,2,bedroom
564,N,3,solutions
565,A,39,key
566,A,1,doable
567,N,43,story
568,N,85,others
569,N,9,Doctors
570,N,2,sunset
571,N,2,tribute
572,A,1,resilient
573,^,13,Mexico
574,^,1,Caribbean
575,^,3,Florida
576,^,4,Texas
577,A,21,recent
578,A,56,natural
579,N,1,disasters
580,N,50,lives
581,A,17,beautiful
582,N,2,beach
583,N,8,none
584,N,44,flu
585,^,1,Via
586,^,2,Chicago
587,^,1,Tribune
588,N,8,Anxiety
589,A,1,unwell
590,N,19,challenge
591,N,73,changes
592,N,4,BLT
593,A,28,Full
594,A,17,slow
595,N,41,chicken
596,N,4,Something
597,^,26,Sunday
598,^,1,Disney
599,Z,1,Pixar's
600,^,2,Ratatouille
601,A,18,real
602,N,21,deal
603,N,22,testing
604,A,153,important
605,N,5,foundation
606,N,38,kind
607,N,58,must
608,A,1,Separate
609,N,11,facts
610,N,1,fiction
611,N,33,questions
612,A,71,active
613,A,26,cardiovascular
614,N,71,visit
615,A,24,loved
616,N,107,cholesterol
617,A,46,bad
618,N,58,news
619,A,1,interactive
620,^,1,Ben
621,Z,1,Jerry's
622,^,2,Cherry
623,^,1,Garcia
624,^,1,FroYo
625,A,52,sweet
626,N,10,tooth
627,N,3,Flu
628,N,9,shots
629,A,26,effective
630,N,2,influenza
631,N,50,weeks
632,N,9,immunity
633,A,1,destine
634,N,25,future
635,A,21,necessary
636,N,8,Fear
637,N,105,change
638,N,10,Work
639,N,2,perfection
640,N,47,everything
641,N,27,response
642,A,11,greatest
643,N,47,power
644,N,3,expectations
645,N,15,Happiness
646,A,15,supposed
647,^,1,#DiabetesMonth
648,N,8,letter
649,N,57,someone
650,A,4,supportive
651,N,50,step
652,N,115,support
653,N,3,spouse
654,N,7,parent
655,N,6,nutritionist
656,N,17,educator
657,N,4,nurse
658,A,4,thankful
659,A,3,homemade
660,N,4,pie
661,^,1,#Thanksgiving
662,A,14,usual
663,^,10,Thanksgiving
664,A,4,leftover
665,N,15,turkey
666,N,3,somebody
667,^,1,#NationalCookieDay
668,N,3,acne
669,N,3,puberty
670,N,7,hair
671,A,5,unwanted
672,N,7,places
673,^,1,Holtorf
674,^,22,Medical
675,^,49,Group
676,N,1,carb-cutting
677,N,1,makeovers
678,N,2,Autumn
679,A,13,rid
680,A,66,negative
681,N,34,thoughts
682,N,17,feelings
683,A,4,impossible
684,A,1,Enough
685,N,3,Fiber
686,N,1,Gourmet
687,N,4,Magazine
688,A,5,productive
689,N,29,idea
690,N,13,afternoon
691,A,47,amazing
692,N,1,lakeside
693,N,1,serenade
694,N,8,breathe
695,N,287,heart
696,N,148,mind
697,N,2,phrase
698,N,57,activities
699,N,30,chance
700,N,29,progress
701,N,28,matter
702,A,15,grateful
703,N,9,pages
704,N,7,chapter
705,N,12,mistake
706,N,1,Paradise
707,A,20,educational
708,N,7,series
709,A,76,next
710,N,39,event
711,^,11,October
712,N,23,grocery
713,N,17,shopping
714,N,1,EXPERTS
715,N,1,melody
716,A,20,cold
717,N,2,wind
718,N,94,family
719,N,14,member
720,N,40,Words
721,N,2,sorrow
722,A,1,catastrophic
723,N,1,earthquake
724,A,4,devastated
725,N,2,villages
726,^,2,Iran
727,^,1,Iraq
728,N,1,Prayers
729,A,2,deepest
730,N,1,sympathy
731,A,1,immeasurable
732,A,11,newest
733,N,16,Year
734,A,3,five-week
735,N,5,newsstands
736,^,12,December
737,^,1,Chicky
738,^,1,BOOM
739,N,3,Habits
740,A,37,Happy
741,A,5,uncontrollable
742,A,1,ungrateful
743,^,24,September
744,A,37,National
745,N,10,Cholesterol
746,N,9,Education
747,N,23,Month
748,N,32,attack
749,N,32,stroke
750,N,40,practice
751,N,4,mantra
752,A,4,absolute
753,A,26,second
754,A,85,positive
755,N,19,action
756,N,11,reality
757,N,16,effort
758,N,4,bowel
759,N,6,troubles
760,N,24,eyes
761,N,10,Body
762,^,1,Okra
763,N,49,Day
764,^,10,LADA
765,A,2,misdiagnosed
766,N,35,condition
767,N,16,Monday
768,N,4,Label
769,^,1,📖
770,^,5,Lyrics
771,A,16,willing
772,A,130,able
773,N,25,label
774,N,58,anything
775,N,13,table
776,A,8,Organic
777,A,21,Whole
778,N,20,Foods
779,A,2,unprocessed
780,N,1,convenience
781,N,21,ingredients
782,A,1,selective
783,N,1,detective
784,N,7,Things
785,A,6,sorry
786,N,1,trolley
787,N,29,couple
788,N,63,benefits
789,N,23,picture
790,N,83,home
791,^,1,Flavourings
792,^,1,colourings
793,^,5,preservatives
794,^,1,Chemicals
795,N,1,derivatives
796,N,17,words
797,^,16,E
798,N,1,detectives
799,N,1,health’s
800,N,7,line
801,N,5,design
802,A,4,divine
803,N,10,struggle
804,N,16,inside
805,A,8,overwhelmed
806,A,10,angry
807,A,1,lonely
808,A,2,thinner
809,N,6,jobs
810,N,4,relationships
811,N,9,struggles
812,N,1,self-created
813,N,6,minds
814,N,2,ideals
815,N,2,fantasies
816,N,33,order
817,N,10,discomfort
818,N,16,failure
819,N,1,heads
820,N,29,choice
821,A,14,deep
822,N,11,breath
823,N,25,attention
824,A,18,present
825,N,20,moment
826,N,30,light
827,N,4,sounds
828,N,17,ground
829,N,93,feet
830,N,3,objects
831,N,4,distractions
832,N,83,foot
833,A,11,permanent
834,N,25,break
835,N,3,drama
836,N,12,gym
837,A,16,comfortable
838,A,2,tenth
839,N,2,rep
840,^,3,nine
841,A,25,special
842,A,2,mediocre
843,N,36,question
844,A,15,silent
845,N,4,hundreds
846,N,2,guts
847,N,2,ring
848,A,1,fool-proof
849,N,28,habits
850,N,44,breakfast
851,N,10,inspiration
852,A,1,carb-smart
853,A,34,favorite
854,N,10,diabetes-friendly
855,N,10,winter
856,N,81,sugars
857,N,36,ideas
858,N,7,spikes
859,N,10,mix
860,N,1,🍎'Apples'🍏
861,N,3,youth
862,N,15,apple
863,N,3,subject
864,^,12,Apple
865,^,1,Macs
866,^,1,IPhones
867,^,1,IPads
868,N,44,talk
869,N,11,apples
870,N,1,unwaxed
871,A,79,medical
872,N,7,mineral
873,N,1,Pectin
874,N,12,fibre
875,N,6,soluble
876,A,95,Helpful
877,A,98,lower
878,N,3,Antioxidants
879,^,2,Flavonoids
880,N,1,Polyphenol
881,N,13,Constipation
882,N,2,fights
883,N,20,inflammation
884,A,11,beneficial
885,A,16,raw
886,A,90,sure
887,A,3,wary
888,N,5,core
889,A,2,Natural
890,N,1,toothbrush
891,A,10,unique
892,N,4,Apples
893,N,1,Acidity
894,N,1,Fructose
895,N,1,Swill
896,N,13,mouth
897,N,31,bit
898,A,9,larger
899,N,1,armour
900,^,1,nuff
901,N,94,fruit
902,N,2,veg
903,N,2,Disclaimer
904,N,107,information
905,N,12,topics
906,N,14,substitute
907,A,14,professional
908,N,3,purposes
909,A,5,qualified
910,N,18,healthcare
911,N,18,provider
912,N,7,existing
913,N,1,cholesterol-diabetes
914,N,1,Comedian
915,^,1,Ed
916,^,1,Gamble
917,A,3,stupid
918,^,155,World
919,N,1,misinformation
920,N,19,researchers
921,N,2,Tooth
922,N,7,gum
923,N,87,anyone
924,N,3,Test
925,N,20,knowledge
926,A,9,oral
927,A,2,Positive
928,Z,1,time—it's
929,N,3,self-talk
930,N,3,statements
931,N,37,happiness
932,N,10,space
933,A,1,intellectual
934,A,52,old
935,N,9,lies
936,N,8,Cauliflower
937,N,2,Grilled
938,N,2,Cheese
939,N,47,bread
940,A,4,overrated
941,^,2,Strawberry
942,N,1,pretzel
943,N,1,squares
944,A,1,fruity
945,N,26,flavor
946,A,6,Fatty
947,N,13,parts
948,N,31,weekend
949,N,1,zen
950,A,6,primary
951,N,18,situation
952,N,4,excuse
953,N,3,hopelessness
954,N,14,opportunity
955,N,10,Awareness
956,^,110,Dr.
957,^,1,Sona
958,^,2,Shah
959,^,1,NYU
960,^,1,Langone
961,N,3,gifts
962,N,22,fact
963,N,14,costs
964,N,72,number
965,A,18,financial
966,N,23,resources
967,A,9,biggest
968,N,2,battleground
969,A,2,strongest
970,N,1,conflict
971,N,40,half
972,N,3,victim
973,N,23,peace
974,N,8,joy
975,N,1,heartache
976,^,9,Wednesday
977,N,2,Butternut
978,N,2,Squash
979,N,1,badminton
980,N,17,squash
981,N,5,knees
982,A,22,young
983,A,10,orange
984,A,3,crowded
985,N,5,bus
986,N,2,butternut
987,A,31,Good
988,A,12,First
989,N,11,wash
990,N,1,mash
991,N,5,Roast
992,A,1,posh
993,A,1,Delicious
994,A,39,worth
995,N,1,dosh
996,N,2,trash
997,^,1,Nuff
998,N,35,vitamin
999,A,2,Perfect
1000,N,6,seed
1001,N,1,Stuff
1002,N,4,bowl
1003,N,1,kettlebell
1004,N,1,#whameeatwednesday
1005,N,1,#squash
1006,N,2,#potassium
1007,N,1,#nutrients
1008,N,1,#fiber
1009,N,7,Yesterday
1010,N,1,twin
1011,N,5,sister
1012,N,26,hospital
1013,N,2,coma
1014,N,16,holiday
1015,A,1,priceless
1016,N,61,feeling
1017,A,27,entire
1018,A,8,weak
1019,A,1,coherent
1020,N,8,opening
1021,N,2,paragraph
1022,N,4,reader
1023,^,2,Amber
1024,A,4,obvious
1025,N,21,reasons
1026,A,8,crazy
1027,N,112,month
1028,N,1,sister’s
1029,N,1,accident
1030,A,1,ridiculous
1031,N,1,argument
1032,A,3,mad
1033,A,3,stubborn
1034,N,1,wake-up
1035,N,49,call
1036,N,8,reminder
1037,N,2,corner
1038,N,1,Influenza
1039,N,1,hospitalizations
1040,N,2,tens
1041,N,28,deaths
1042,^,25,United
1043,N,20,States
1044,A,5,ill
1045,S,2,weekend's
1046,^,1,DMine
1047,^,7,Dubois
1048,N,21,portion
1049,N,1,pitfalls
1050,N,4,protection
1051,^,7,CDC
1052,N,1,fighter
1053,^,2,Dan
1054,^,1,Jernigan
1055,N,27,word
1056,^,14,Facebook
1057,N,6,frame
1058,N,103,months
1059,A,7,older
1060,N,2,vacations
1061,A,3,relaxed
1062,^,9,ADA
1063,N,2,standards
1064,A,5,mindful
1065,N,5,privilege
1066,N,3,bathroom
1067,N,3,mirror
1068,N,7,blessing
1069,N,34,state
1070,^,1,Cherise
1071,N,1,Handbag
1072,A,1,on-the-go
1073,N,38,organization
1074,A,13,prepared
1075,S,2,day's
1076,N,23,tests
1077,N,5,Shop
1078,N,5,Summer
1079,N,23,issue
1080,A,20,excited
1081,A,21,delicious
1082,N,242,take
1083,N,34,fasting
1084,N,1,culprit
1085,N,32,hormones
1086,N,218,pain
1087,N,34,strength
1088,N,4,credit
1089,N,2,resilience
1090,^,2,grace
1091,A,18,handy
1092,N,5,tool
1093,A,49,simple
1094,N,11,mini
1095,N,1,cookbook
1096,A,2,sweetest
1097,N,15,events
1098,N,17,phone
1099,A,66,live
1100,N,1,Q&A
1101,N,30,experts
1102,^,5,February
1103,A,17,Free
1104,N,11,registration
1105,N,1,spring-time
1106,A,1,how-to
1107,N,1,roasting
1108,N,13,board
1109,S,1,couple's
1110,N,1,tactics
1111,N,66,try
1112,^,8,EatingWell
1113,A,4,tough
1114,A,20,single
1115,N,1,tactic
1116,N,18,ahead
1117,A,56,easy
1118,N,2,lifesaver
1119,N,3,appearance
1120,N,3,tricks
1121,A,1,hard-to-guesstimate
1122,N,38,dishes
1123,N,17,salads
1124,N,4,pizza
1125,A,2,Main
1126,N,2,Ingredients
1127,N,3,Salads
1128,N,62,article
1129,N,1,Rankings
1130,N,2,Pout
1131,N,5,Fish
1132,N,2,forgetfulness
1133,N,13,memory
1134,N,9,strategies
1135,N,3,toll
1136,N,22,anger
1137,N,3,Barley
1138,N,13,summer
1139,A,1,Seasonal
1140,N,2,breakfasts
1141,N,2,burnout
1142,A,3,sneaky
1143,N,1,swaps
1144,N,8,mushrooms
1145,A,29,healthier
1146,N,2,burger
1147,S,2,summer's
1148,N,1,bounty
1149,N,1,-calorie
1150,N,3,swings
1151,A,1,Jam-packed
1152,N,3,sale
1153,N,18,site
1154,A,28,Physical
1155,N,2,indoors
1156,N,5,outdoors
1157,A,1,sweaty
1158,A,1,parched
1159,A,5,fancy
1160,N,9,sports
1161,N,21,drinks
1162,A,7,plain
1163,A,11,hydrated
1164,A,2,warmer
1165,N,12,weather
1166,A,15,outside
1167,N,25,nature
1168,A,20,plus
1169,N,9,pack
1170,^,1,Memorial
1171,N,2,packet
1172,A,9,warm
1173,N,3,tortillas
1174,N,2,taco
1175,N,2,toppings
1176,N,4,Recipe
1177,N,15,party
1178,N,3,crowd-pleasing
1179,A,2,portable
1180,N,1,picnics
1181,N,1,BBQs
1182,N,34,spread
1183,A,2,whopping
1184,N,1,30-days
1185,N,3,dinners
1186,N,91,check
1187,A,10,mobile
1188,N,14,app
1189,N,5,Wellness
1190,N,24,Program
1191,N,3,offering
1192,^,2,Samsung
1193,^,1,WellDoc
1194,N,1,zesty
1195,N,4,zucchini
1196,N,1,medley
1197,N,2,crunch
1198,N,17,beginning
1199,^,8,January
1200,N,35,age
1201,^,309,may
1202,N,1,c-peptide
1203,N,84,test
1204,N,53,case
1205,N,396,one
1206,N,1,PANCREAS
1207,N,1,INSULIN
1208,A,1,NORMAL
1209,A,1,HEALTHY
1210,N,1,NON
1211,N,5,DIABETIC
1212,A,6,borderline
1213,N,73,results
1214,^,1,march
1215,A,2,conventional
1216,A,1,illogical
1217,A,1,irrelevant
1218,N,1,advice(I
1219,N,1,doctor(s
1220,N,3,advocate
1221,A,5,Egyptian
1222,A,5,foreign
1223,A,13,minimum
1224,N,22,thanks
1225,N,11,mistakes
1226,N,1,sugas
1227,N,1,diabetic(or
1228,N,1,diet(not
1229,A,93,used
1230,A,25,true
1231,N,3,remaining
1232,N,9,beta
1233,N,1,cells(the
1234,N,107,cells
1235,A,2,quicker
1236,N,155,patient
1237,^,2,DR
1238,Z,1,Bernstein's
1239,N,9,regimen
1240,N,53,diabetics
1241,N,35,non
1242,N,28,friend
1243,A,1,aggressive
1244,A,2,/hard
1245,A,1,agressive
1246,N,3,extent
1247,N,80,website
1248,N,1,chapters
1249,N,66,Thanks
1250,^,17,March
1251,N,1,Madness
1252,N,1,Bracketology
1253,N,1,Style
1254,N,1,brackets
1255,A,1,busted
1256,A,8,Big
1257,N,3,Dance
1258,N,4,Season
1259,^,24,SUNDAY
1260,N,19,FUNNIES
1261,N,6,Easter
1262,N,2,diabetes-style
1263,A,2,talented
1264,^,1,Jon
1265,^,1,Carter
1266,S,4,week's
1267,A,3,Funny
1268,^,2,DiabetesMine
1269,N,1,plant’s
1270,A,3,isolated
1271,N,7,compounds
1272,N,3,fantasy
1273,N,8,frustration
1274,N,2,stems
1275,N,1,calmness
1276,N,1,superpower
1277,^,7,Thursday
1278,^,4,Sanofi
1279,N,2,meal-time
1280,N,2,Admelog
1281,N,1,copycat
1282,N,9,version
1283,Z,1,Lilly's
1284,^,1,Humalog
1285,N,10,decades
1286,^,19,FDA
1287,A,75,available
1288,^,25,U.S.
1289,N,1,pharmacies
1290,A,9,lowest
1291,N,65,list
1292,N,8,price
1293,N,13,market
1294,A,1,ALL-NEW
1295,^,1,Kerri
1296,N,1,Tote
1297,N,2,scenarios
1298,N,1,multifunctional
1299,N,1,tote
1300,N,14,bag
1301,N,1,interior
1302,N,1,laptop
1303,N,15,computer
1304,A,1,insulated
1305,N,11,section
1306,N,1,exterior
1307,N,1,clutch
1308,N,15,access
1309,N,27,supplies
1310,N,3,wallet
1311,N,1,necessities
1312,A,1,stylish
1313,A,1,streamlined
1314,N,9,shoulder
1315,N,1,strap
1316,N,2,attachment
1317,N,17,travel
1318,N,1,diaper
1319,N,205,use
1320,N,2,errands
1321,N,1,accessory
1322,A,5,versatile
1323,A,1,multifaceted
1324,N,1,SHOP
1325,A,1,deliberate
1326,N,27,longer
1327,A,18,specific
1328,N,7,routines
1329,N,11,values
1330,N,2,memories
1331,A,1,awkward
1332,N,3,occasions
1333,A,15,1st
1334,A,3,sunny
1335,A,1,30-Minute
1336,N,1,Workout
1337,N,2,Fitness
1338,N,21,Level
1339,A,1,NEW
1340,N,1,Tax
1341,N,1,Man
1342,^,1,Jerry
1343,^,9,King
1344,A,48,regular
1345,N,1,cartoonist
1346,N,2,Side
1347,N,1,Dishes
1348,^,1,Ham
1349,A,1,Diabetic-Friendly
1350,N,5,collection
1351,N,6,ham
1352,A,1,mock
1353,A,5,mashed
1354,N,1,asparagus
1355,A,20,green
1356,N,53,beans
1357,N,46,veggies
1358,^,1,Smithfield
1359,^,1,Hickory
1360,^,1,Farms
1361,N,1,swing
1362,N,3,diabetes-related
1363,N,1,Meth
1364,N,1,meth
1365,A,1,achy
1366,N,5,ease
1367,A,1,busiest
1368,N,1,D-world
1369,A,2,familiar
1370,N,27,alternative
1371,^,1,Brad
1372,^,1,Slaight
1373,N,3,cartoon
1374,^,39,Blood
1375,N,267,patients
1376,^,14,pancreatic
1377,N,128,cancer
1378,N,142,years
1379,N,32,studies
1380,^,1,Mayo
1381,^,2,Clinic
1382,N,17,journal
