,pos,count,entity
311,N,531,complications
312,N,172,nerve
313,N,236,damage
314,N,657,kidney
315,N,406,eye
316,N,2094,disease
317,A,212,likely
318,A,1,underdose
319,N,329,shot
320,A,5,sensible
321,A,120,Low
322,N,39,Calorie
323,^,6,VLCDs
324,N,141,hypoglycemia
325,N,543,protein
326,N,145,content
327,A,60,obese
328,A,49,immediate
329,A,331,serious
330,N,107,Weight
331,N,1,VLCD
332,A,49,rapid
333,N,1542,days
334,A,9,restrictive
335,A,1,intuitive
336,N,4,circles
337,A,248,ready
338,A,8,gentle
339,N,221,nutrition
340,A,4,joyful
341,N,59,movement
342,N,1035,things
343,N,16,Self
344,N,15,culture
345,A,590,own
346,N,1098,exercise
347,N,18,intention
348,A,38,guilty
349,A,775,different
350,N,203,options
351,^,2581,Type
352,N,22,beverage
353,A,1,monotonous
354,A,93,lean
355,N,233,meat
356,N,145,muscle
357,N,55,tissue
358,N,695,side
359,N,466,effects
360,N,7,supervision
361,N,64,physician
362,N,145,obesity
363,A,42,magic
364,N,394,medicine
365,N,264,medicines
366,N,406,place
367,N,30,doctor’s
368,N,948,advice
369,N,309,medications
370,N,1409,everyone
371,N,124,appetite
372,N,159,sense
373,N,7,fullness
374,N,31,absorption
375,N,18,Medicines
376,N,24,chemicals
377,A,263,easier
378,N,6,stools
379,A,16,oily
380,N,19,intestinal
381,N,36,gas
382,N,996,lot
383,N,11,chromium
384,N,88,supplements
385,N,228,lots
386,N,12,ads
387,N,84,cravings
388,N,37,tolerance
389,N,70,factor
390,A,65,estimated
391,A,406,safe
392,A,26,adequate
393,A,104,dietary
394,N,226,intake
395,N,23,mcg
396,N,263,adults
397,^,8,Chromium
398,Z,1,brewer’s
399,N,40,yeast
400,N,174,wheat
401,N,9,germ
402,N,94,corn
403,N,285,oil
404,N,222,grain
405,N,46,cereals
406,N,367,cheese
407,N,24,bran
408,N,326,liver
409,N,4,oysters
410,N,165,potatoes
411,N,385,skin
412,N,26,peanuts
413,A,146,peanut
414,N,267,butter
415,N,17,consultation
416,N,1921,doctor
417,N,197,money
418,N,43,initiative
419,^,2,Pradeep
420,^,41,N
421,^,1,Roshani
422,^,2,Gadge
423,^,5,Maria
424,A,32,comprehensive
425,N,14,summary
426,N,4,rating
427,S,1,dietician's
428,N,32,views
429,N,133,fitness
430,N,113,holidays
431,N,124,quality
432,A,41,crucial
433,A,139,overall
434,N,40,wellness
435,Z,1,Frank's
436,A,6,understandable
437,A,145,afraid
438,N,842,post
439,N,98,address
440,N,374,common
441,N,43,fears
442,N,82,concerns
443,A,7,empowered
444,N,272,depression
445,N,28,distress
446,N,72,connection
447,N,41,ALERT
448,^,148,Medtronic
449,^,14,MiniMed
450,N,99,pumps
451,A,19,incorrect
452,N,35,recall
453,A,20,manageable
454,A,18,enjoyable
455,^,15,Justin
456,^,1,Bieber
457,^,1,Kyrie
458,^,1,Irving
459,^,24,Kevin
460,^,2,Hart
461,^,3,#diabetesdancedare
462,^,580,American
463,N,330,Association
464,^,4,👉🏾
465,A,1,Barbecued
466,A,48,Chinese
467,N,69,Chicken
468,N,3,Lettuce
469,N,7,Wraps
470,^,1,Rachael
471,^,15,Ray
472,N,360,recipe
473,A,74,incredible
474,N,199,stories
475,N,234,education
476,N,7,empowerment
477,N,8,transformation
478,N,190,season
479,N,6,premiere
480,^,267,Tuesday
481,^,209,July
482,N,65,interest
483,N,706,carb
484,N,425,recipes
485,N,191,result
486,A,27,BEST
487,A,33,LOW
488,N,18,CARB
489,^,1,GLUTEN/GRAIN-FREE
490,^,1,BROWNIE
491,N,1,HISTORY
492,N,12,Info
493,N,16,Kit
494,N,40,desserts
495,A,1123,great
496,A,113,OK
497,N,158,room
498,A,9,meatless
499,N,2,week--it's
500,A,70,balanced
501,N,1559,night
502,N,125,cook
503,A,581,later
504,A,250,quick
505,N,1383,week
506,A,3,dietitian-approved
507,N,455,snack
508,N,11,mixes
509,A,1595,first
510,N,225,steps
511,N,614,diagnosis
512,N,39,quiz
513,N,6,personality
514,N,329,tonight
515,N,1338,carbs
516,N,11,casseroles
517,N,38,soups
518,A,470,past
519,N,43,denial
520,A,485,New
521,N,1,Year's!
522,N,17,Fall
523,A,2572,new
524,N,17,leaf
525,A,199,major
526,N,2085,morning
527,N,132,workout
528,N,50,confidence
529,N,1111,metformin
530,^,5,pioglitazone
531,N,75,glipizide
532,N,628,Health
533,A,67,FREE
534,N,1259,year
535,N,180,trouble
536,N,82,solution
537,^,357,Diabetic
538,Z,1,Living’s
539,N,195,course
540,N,132,email
541,N,8,inbox
542,N,3,editors
543,N,7,magazines
544,N,160,focus
545,N,4,specifics
546,N,20,heart-healthy
547,N,44,budget
548,N,242,guide
549,A,140,expensive
550,N,1,breather
551,A,64,Top
552,N,49,Chef
553,N,5,finalist
554,^,51,Sam
555,^,29,Talbot
556,A,36,Sweet
557,N,210,Life
558,A,109,multiple
559,N,25,restaurants
560,N,399,nothing
561,A,13,unhappy
562,N,35,host
563,N,22,bedroom
564,N,43,solutions
565,A,160,key
566,A,6,doable
567,N,635,story
568,N,878,others
569,N,38,Doctors
570,N,4,sunset
571,N,6,tribute
572,A,3,resilient
573,^,31,Mexico
574,^,5,Caribbean
575,^,48,Florida
576,^,45,Texas
577,A,193,recent
578,A,173,natural
579,N,15,disasters
580,N,421,lives
581,A,79,beautiful
582,N,22,beach
583,N,60,none
584,N,235,flu
585,^,24,Via
586,^,38,Chicago
587,^,5,Tribune
588,N,53,Anxiety
589,A,27,unwell
590,N,138,challenge
591,N,442,changes
592,N,6,BLT
593,A,55,Full
594,A,182,slow
595,N,351,chicken
596,N,57,Something
597,^,290,Sunday
598,^,16,Disney
599,Z,1,Pixar's
600,^,2,Ratatouille
601,A,324,real
602,N,298,deal
603,N,347,testing
604,A,850,important
605,N,22,foundation
606,N,421,kind
607,N,294,must
608,A,2,Separate
609,N,64,facts
610,N,2,fiction
611,N,508,questions
612,A,373,active
613,A,130,cardiovascular
614,N,387,visit
615,A,238,loved
616,N,474,cholesterol
617,A,1231,bad
618,N,349,news
619,A,26,interactive
620,^,15,Ben
621,Z,5,Jerry's
622,^,5,Cherry
623,^,1,Garcia
624,^,1,FroYo
625,A,351,sweet
626,N,88,tooth
627,N,13,Flu
628,N,161,shots
629,A,155,effective
630,N,9,influenza
631,N,902,weeks
632,N,23,immunity
633,A,1,destine
634,N,205,future
635,A,107,necessary
636,N,25,Fear
637,N,829,change
638,N,44,Work
639,N,7,perfection
640,N,526,everything
641,N,107,response
642,A,47,greatest
643,N,156,power
644,N,22,expectations
645,N,21,Happiness
646,A,196,supposed
647,^,21,#DiabetesMonth
648,N,71,letter
649,N,860,someone
650,A,78,supportive
651,N,252,step
652,N,1330,support
653,N,25,spouse
654,N,64,parent
655,N,104,nutritionist
656,N,109,educator
657,N,200,nurse
658,A,97,thankful
659,A,41,homemade
660,N,54,pie
661,^,3,#Thanksgiving
662,A,125,usual
663,^,123,Thanksgiving
664,A,12,leftover
665,N,78,turkey
666,N,43,somebody
667,^,1,#NationalCookieDay
668,N,9,acne
669,N,12,puberty
670,N,120,hair
671,A,9,unwanted
672,N,84,places
673,^,1,Holtorf
674,^,167,Medical
675,^,175,Group
676,N,1,carb-cutting
677,N,1,makeovers
678,N,5,Autumn
679,A,112,rid
680,A,155,negative
681,N,303,thoughts
682,N,96,feelings
683,A,62,impossible
684,A,7,Enough
685,N,26,Fiber
686,N,1,Gourmet
687,N,106,Magazine
688,A,13,productive
689,N,272,idea
690,N,159,afternoon
691,A,329,amazing
692,N,1,lakeside
693,N,1,serenade
694,N,31,breathe
695,N,1087,heart
696,N,395,mind
697,N,8,phrase
698,N,209,activities
699,N,205,chance
700,N,205,progress
701,N,350,matter
702,A,121,grateful
703,N,27,pages
704,N,31,chapter
705,N,54,mistake
706,N,3,Paradise
707,A,96,educational
708,N,138,series
709,A,760,next
710,N,248,event
711,^,222,October
712,N,146,grocery
713,N,140,shopping
714,N,5,EXPERTS
715,N,1,melody
716,A,347,cold
717,N,14,wind
718,N,1043,family
719,N,245,member
720,N,47,Words
721,N,4,sorrow
722,A,4,catastrophic
723,N,2,earthquake
724,A,15,devastated
725,N,3,villages
726,^,2,Iran
727,^,1,Iraq
728,N,11,Prayers
729,A,4,deepest
730,N,14,sympathy
731,A,1,immeasurable
732,A,81,newest
733,N,74,Year
734,A,3,five-week
735,N,7,newsstands
736,^,211,December
737,^,1,Chicky
738,^,5,BOOM
739,N,8,Habits
740,A,424,Happy
741,A,15,uncontrollable
742,A,1,ungrateful
743,^,234,September
744,A,754,National
745,N,72,Cholesterol
746,N,163,Education
747,N,452,Month
748,N,158,attack
749,N,175,stroke
750,N,116,practice
751,N,8,mantra
752,A,20,absolute
753,A,216,second
754,A,322,positive
755,N,132,action
756,N,71,reality
757,N,81,effort
758,N,102,bowel
759,N,14,troubles
760,N,239,eyes
761,N,52,Body
762,^,8,Okra
763,N,560,Day
764,^,52,LADA
765,A,28,misdiagnosed
766,N,310,condition
767,N,360,Monday
768,N,5,Label
769,^,3,📖
770,^,6,Lyrics
771,A,70,willing
772,A,661,able
773,N,93,label
774,N,813,anything
775,N,77,table
776,A,11,Organic
777,A,72,Whole
778,N,86,Foods
779,A,6,unprocessed
780,N,7,convenience
781,N,134,ingredients
782,A,3,selective
783,N,4,detective
784,N,37,Things
785,A,116,sorry
786,N,1,trolley
787,N,411,couple
788,N,269,benefits
789,N,170,picture
790,N,834,home
791,^,1,Flavourings
792,^,2,colourings
793,^,11,preservatives
794,^,1,Chemicals
795,N,2,derivatives
796,N,155,words
797,^,50,E
798,N,1,detectives
799,N,1,health’s
800,N,133,line
801,N,20,design
802,A,4,divine
803,N,246,struggle
804,N,145,inside
805,A,79,overwhelmed
806,A,73,angry
807,A,19,lonely
808,A,14,thinner
809,N,42,jobs
810,N,17,relationships
811,N,107,struggles
812,N,1,self-created
813,N,30,minds
814,N,4,ideals
815,N,3,fantasies
816,N,373,order
817,N,44,discomfort
818,N,166,failure
819,N,24,heads
820,N,213,choice
821,A,87,deep
822,N,87,breath
823,N,133,attention
824,A,87,present
825,N,184,moment
826,N,242,light
827,N,47,sounds
828,N,79,ground
829,N,795,feet
830,N,7,objects
831,N,5,distractions
832,N,534,foot
833,A,41,permanent
834,N,163,break
835,N,16,drama
836,N,134,gym
837,A,69,comfortable
838,A,3,tenth
839,N,11,rep
840,^,22,nine
841,A,196,special
842,A,2,mediocre
843,N,901,question
844,A,31,silent
845,N,39,hundreds
846,N,7,guts
847,N,18,ring
848,A,1,fool-proof
849,N,252,habits
850,N,718,breakfast
851,N,78,inspiration
852,A,1,carb-smart
853,A,309,favorite
854,N,44,diabetes-friendly
855,N,77,winter
856,N,1426,sugars
857,N,499,ideas
858,N,96,spikes
859,N,125,mix
860,N,1,🍎'Apples'🍏
861,N,47,youth
862,N,121,apple
863,N,33,subject
864,^,54,Apple
865,^,1,Macs
866,^,1,IPhones
867,^,1,IPads
868,N,447,talk
869,N,51,apples
870,N,1,unwaxed
871,A,502,medical
872,N,10,mineral
873,N,1,Pectin
874,N,55,fibre
875,N,15,soluble
876,A,111,Helpful
877,A,810,lower
878,N,4,Antioxidants
879,^,2,Flavonoids
880,N,1,Polyphenol
881,N,16,Constipation
882,N,13,fights
883,N,77,inflammation
884,A,58,beneficial
885,A,66,raw
886,A,1055,sure
887,A,6,wary
888,N,25,core
889,A,16,Natural
890,N,2,toothbrush
891,A,64,unique
892,N,11,Apples
893,N,1,Acidity
894,N,2,Fructose
895,N,1,Swill
896,N,152,mouth
897,N,529,bit
898,A,33,larger
899,N,1,armour
900,^,1,nuff
901,N,404,fruit
902,N,19,veg
903,N,4,Disclaimer
904,N,803,information
905,N,71,topics
906,N,84,substitute
907,A,136,professional
908,N,8,purposes
909,A,16,qualified
910,N,120,healthcare
911,N,113,provider
912,N,21,existing
913,N,1,cholesterol-diabetes
914,N,2,Comedian
915,^,13,Ed
916,^,5,Gamble
917,A,111,stupid
918,^,301,World
919,N,9,misinformation
920,N,172,researchers
921,N,4,Tooth
922,N,48,gum
923,N,3590,anyone
924,N,77,Test
925,N,120,knowledge
926,A,135,oral
927,A,12,Positive
928,Z,1,time—it's
929,N,8,self-talk
930,N,15,statements
931,N,62,happiness
932,N,73,space
933,A,4,intellectual
934,A,635,old
935,N,26,lies
936,N,21,Cauliflower
937,N,15,Grilled
938,N,19,Cheese
939,N,364,bread
940,A,4,overrated
941,^,7,Strawberry
942,N,4,pretzel
943,N,4,squares
944,A,5,fruity
945,N,111,flavor
946,A,17,Fatty
947,N,57,parts
948,N,330,weekend
949,N,2,zen
950,A,92,primary
951,N,195,situation
952,N,33,excuse
953,N,7,hopelessness
954,N,149,opportunity
955,N,266,Awareness
956,^,1208,Dr.
957,^,1,Sona
958,^,3,Shah
959,^,5,NYU
960,^,3,Langone
961,N,29,gifts
962,N,307,fact
963,N,105,costs
964,N,542,number
965,A,44,financial
966,N,324,resources
967,A,94,biggest
968,N,2,battleground
969,A,11,strongest
970,N,4,conflict
971,N,441,half
972,N,8,victim
973,N,48,peace
974,N,40,joy
975,N,1,heartache
976,^,244,Wednesday
977,N,2,Butternut
978,N,6,Squash
979,N,2,badminton
980,N,62,squash
981,N,46,knees
982,A,186,young
983,A,81,orange
984,A,4,crowded
985,N,35,bus
986,N,14,butternut
987,A,577,Good
988,A,150,First
989,N,54,wash
990,N,10,mash
991,N,11,Roast
992,A,1,posh
993,A,10,Delicious
994,A,178,worth
995,N,1,dosh
996,N,11,trash
997,^,2,Nuff
998,N,178,vitamin
999,A,8,Perfect
1000,N,24,seed
1001,N,3,Stuff
1002,N,73,bowl
1003,N,2,kettlebell
1004,N,1,#whameeatwednesday
1005,N,1,#squash
1006,N,2,#potassium
1007,N,1,#nutrients
1008,N,1,#fiber
1009,N,136,Yesterday
1010,N,6,twin
1011,N,90,sister
1012,N,540,hospital
1013,N,62,coma
1014,N,181,holiday
1015,A,4,priceless
1016,N,1301,feeling
1017,A,162,entire
1018,A,141,weak
1019,A,2,coherent
1020,N,48,opening
1021,N,3,paragraph
1022,N,50,reader
1023,^,5,Amber
1024,A,40,obvious
1025,N,120,reasons
1026,A,207,crazy
1027,N,907,month
1028,N,3,sister’s
1029,N,19,accident
1030,A,14,ridiculous
1031,N,9,argument
1032,A,65,mad
1033,A,18,stubborn
1034,N,7,wake-up
1035,N,511,call
1036,N,51,reminder
1037,N,28,corner
1038,N,5,Influenza
1039,N,2,hospitalizations
1040,N,6,tens
1041,N,40,deaths
1042,^,125,United
1043,N,99,States
1044,A,110,ill
1045,S,4,weekend's
1046,^,1,DMine
1047,^,7,Dubois
1048,N,124,portion
1049,N,4,pitfalls
1050,N,12,protection
1051,^,77,CDC
1052,N,9,fighter
1053,^,15,Dan
1054,^,1,Jernigan
1055,N,135,word
1056,^,255,Facebook
1057,N,33,frame
1058,N,1232,months
1059,A,122,older
1060,N,4,vacations
1061,A,13,relaxed
1062,^,173,ADA
1063,N,13,standards
1064,A,17,mindful
1065,N,15,privilege
1066,N,85,bathroom
1067,N,10,mirror
1068,N,26,blessing
1069,N,153,state
1070,^,2,Cherise
1071,N,1,Handbag
1072,A,8,on-the-go
1073,N,89,organization
1074,A,141,prepared
1075,S,25,day's
1076,N,253,tests
1077,N,44,Shop
1078,N,35,Summer
1079,N,343,issue
1080,A,268,excited
1081,A,161,delicious
1082,N,3264,take
1083,N,753,fasting
1084,N,12,culprit
1085,N,77,hormones
1086,N,1336,pain
1087,N,163,strength
1088,N,21,credit
1089,N,10,resilience
1090,^,9,grace
1091,A,62,handy
1092,N,77,tool
1093,A,243,simple
1094,N,63,mini
1095,N,30,cookbook
1096,A,6,sweetest
1097,N,98,events
1098,N,254,phone
1099,A,791,live
1100,N,72,Q&A
1101,N,176,experts
1102,^,172,February
1103,A,97,Free
1104,N,51,registration
1105,N,1,spring-time
1106,A,3,how-to
1107,N,6,roasting
1108,N,60,board
1109,S,1,couple's
1110,N,6,tactics
1111,N,797,try
1112,^,9,EatingWell
1113,A,89,tough
1114,A,190,single
1115,N,5,tactic
1116,N,107,ahead
1117,A,463,easy
1118,N,3,lifesaver
1119,N,10,appearance
1120,N,81,tricks
1121,A,1,hard-to-guesstimate
1122,N,99,dishes
1123,N,77,salads
1124,N,126,pizza
1125,A,4,Main
1126,N,19,Ingredients
1127,N,6,Salads
1128,N,263,article
1129,N,1,Rankings
1130,N,2,Pout
1131,N,22,Fish
1132,N,4,forgetfulness
1133,N,64,memory
1134,N,101,strategies
1135,N,29,toll
1136,N,62,anger
1137,N,9,Barley
1138,N,221,summer
1139,A,1,Seasonal
1140,N,14,breakfasts
1141,N,46,burnout
1142,A,5,sneaky
1143,N,6,swaps
1144,N,47,mushrooms
1145,A,243,healthier
1146,N,36,burger
1147,S,3,summer's
1148,N,1,bounty
1149,N,4,-calorie
1150,N,26,swings
1151,A,1,Jam-packed
1152,N,25,sale
1153,N,178,site
1154,A,89,Physical
1155,N,7,indoors
1156,N,17,outdoors
1157,A,34,sweaty
1158,A,1,parched
1159,A,18,fancy
1160,N,60,sports
1161,N,179,drinks
1162,A,71,plain
1163,A,49,hydrated
1164,A,8,warmer
1165,N,114,weather
1166,A,150,outside
1167,N,67,nature
1168,A,183,plus
1169,N,91,pack
1170,^,12,Memorial
1171,N,18,packet
1172,A,122,warm
1173,N,16,tortillas
1174,N,24,taco
1175,N,13,toppings
1176,N,49,Recipe
1177,N,89,party
1178,N,4,crowd-pleasing
1179,A,12,portable
1180,N,2,picnics
1181,N,3,BBQs
1182,N,175,spread
1183,A,6,whopping
1184,N,1,30-days
1185,N,24,dinners
1186,N,1098,check
1187,A,36,mobile
1188,N,305,app
1189,N,33,Wellness
1190,N,263,Program
1191,N,33,offering
1192,^,9,Samsung
1193,^,1,WellDoc
1194,N,9,zesty
1195,N,39,zucchini
1196,N,1,medley
1197,N,8,crunch
1198,N,123,beginning
1199,^,223,January
1200,N,351,age
1201,^,1615,may
1202,N,6,c-peptide
1203,N,1131,test
1204,N,270,case
1205,N,3550,one
1206,N,3,PANCREAS
1207,N,41,INSULIN
1208,A,14,NORMAL
1209,A,9,HEALTHY
1210,N,2,NON
1211,N,31,DIABETIC
1212,A,34,borderline
1213,N,615,results
1214,^,11,march
1215,A,7,conventional
1216,A,1,illogical
1217,A,3,irrelevant
1218,N,1,advice(I
1219,N,1,doctor(s
1220,N,140,advocate
1221,A,9,Egyptian
1222,A,11,foreign
1223,A,40,minimum
1224,N,360,thanks
1225,N,41,mistakes
1226,N,1,sugas
1227,N,1,diabetic(or
1228,N,1,diet(not
1229,A,815,used
1230,A,246,true
1231,N,28,remaining
1232,N,120,beta
1233,N,1,cells(the
1234,N,383,cells
1235,A,15,quicker
1236,N,441,patient
1237,^,20,DR
1238,Z,3,Bernstein's
1239,N,47,regimen
1240,N,644,diabetics
1241,N,180,non
1242,N,275,friend
1243,A,10,aggressive
1244,A,2,/hard
1245,A,1,agressive
1246,N,13,extent
1247,N,251,website
1248,N,11,chapters
1249,N,1106,Thanks
1250,^,312,March
1251,N,1,Madness
1252,N,1,Bracketology
1253,N,10,Style
1254,N,1,brackets
1255,A,6,busted
1256,A,57,Big
1257,N,18,Dance
1258,N,21,Season
1259,^,100,SUNDAY
1260,N,23,FUNNIES
1261,N,29,Easter
1262,N,2,diabetes-style
1263,A,14,talented
1264,^,6,Jon
1265,^,20,Carter
1266,S,14,week's
1267,A,15,Funny
1268,^,2,DiabetesMine
1269,N,1,plant’s
1270,A,15,isolated
1271,N,15,compounds
1272,N,6,fantasy
1273,N,29,frustration
1274,N,7,stems
1275,N,1,calmness
1276,N,4,superpower
1277,^,264,Thursday
1278,^,9,Sanofi
1279,N,3,meal-time
1280,N,13,Admelog
1281,N,1,copycat
1282,N,55,version
1283,Z,1,Lilly's
1284,^,96,Humalog
1285,N,45,decades
1286,^,90,FDA
1287,A,322,available
1288,^,206,U.S.
1289,N,17,pharmacies
1290,A,132,lowest
1291,N,350,list
1292,N,113,price
1293,N,65,market
1294,A,1,ALL-NEW
1295,^,7,Kerri
1296,N,1,Tote
1297,N,8,scenarios
1298,N,1,multifunctional
1299,N,2,tote
1300,N,143,bag
1301,N,2,interior
1302,N,5,laptop
1303,N,53,computer
1304,A,9,insulated
1305,N,56,section
1306,N,1,exterior
1307,N,1,clutch
1308,N,216,access
1309,N,320,supplies
1310,N,7,wallet
1311,N,9,necessities
1312,A,9,stylish
1313,A,2,streamlined
1314,N,62,shoulder
1315,N,7,strap
1316,N,3,attachment
1317,N,139,travel
1318,N,1,diaper
1319,N,1755,use
1320,N,9,errands
1321,N,2,accessory
1322,A,8,versatile
1323,A,3,multifaceted
1324,N,4,SHOP
1325,A,3,deliberate
1326,N,314,longer
1327,A,130,specific
1328,N,18,routines
1329,N,39,values
1330,N,16,memories
1331,A,14,awkward
1332,N,13,occasions
1333,A,157,1st
1334,A,10,sunny
1335,A,2,30-Minute
1336,N,8,Workout
1337,N,32,Fitness
1338,N,39,Level
1339,A,143,NEW
1340,N,4,Tax
1341,N,23,Man
1342,^,45,Jerry
1343,^,35,King
1344,A,330,regular
1345,N,1,cartoonist
1346,N,44,Side
1347,N,1,Dishes
1348,^,8,Ham
1349,A,1,Diabetic-Friendly
1350,N,24,collection
1351,N,43,ham
1352,A,2,mock
1353,A,43,mashed
1354,N,22,asparagus
1355,A,185,green
1356,N,251,beans
1357,N,276,veggies
1358,^,1,Smithfield
1359,^,1,Hickory
1360,^,2,Farms
1361,N,20,swing
1362,N,47,diabetes-related
1363,N,1,Meth
1364,N,1,meth
1365,A,6,achy
1366,N,68,ease
1367,A,2,busiest
1368,N,1,D-world
1369,A,50,familiar
1370,N,91,alternative
1371,^,8,Brad
1372,^,1,Slaight
1373,N,3,cartoon
1374,^,388,Blood
